rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
1,the,a,50033612,50385.16,0.11,0.00,482995,0.98,6266654,7095508,3781291,5760948,6307838,6801589,6579270,7440931,50434.35,55169.32,29524.14,45672.67,53310.74,53941.86,54042.73,62116.23
2,be,v,32394756,32622.71,0.03,0.01,481177,0.99,5594001,5325829,8029744,7025941,4412160,4193720,4102481,3689062,45020.81,41409.63,62695.87,55701.50,37289.40,33259.44,33698.16,30795.96
3,and,c,24778098,24952.20,0.09,0.00,478670,0.98,3205178,3453140,1824964,3314232,3059827,3300767,2993061,3627686,25795.44,26849.01,14249.23,26275.16,25860.15,26177.63,24585.28,30283.60
4,a,a,24225478,24395.69,0.04,0.04,478204,0.99,3098338,3182822,2649922,2948384,2970752,3472793,3299770,2602697,24935.58,24747.22,20690.47,23374.72,25107.33,27541.93,27104.62,21727.08
5,of,i,23159162,23321.89,0.01,0.00,477933,0.97,2897295,3419616,1398417,2542569,2280164,3252696,2867922,4500485,23317.58,26588.36,10918.77,20157.43,19270.82,25796.39,23557.38,37569.65
6,to,t,16770155,16887.99,0.02,0.00,471197,1.01,2395858,2286438,2442742,2364762,1794557,1950363,1854109,1681326,19281.99,17777.62,19072.82,18747.78,15166.71,15467.89,15229.82,14035.56
7,in,i,15670692,15780.80,0.08,0.00,472313,0.98,1890236,2145004,1097130,1896531,1561200,2213407,2276571,2590613,15212.72,16677.93,8566.34,15035.65,13194.49,17554.03,18699.97,21626.21
8,i,p,14217601,14317.50,1.00,1.00,352633,0.97,1892542,1450100,4814503,2215625,2106049,848473,661408,240858,15231.28,11274.88,37591.42,17565.42,17799.29,6729.05,5432.87,2010.66
9,you,p,12079413,12164.29,0.20,0.01,366279,0.96,1228877,1097675,5050382,2234800,1240860,728340,388496,111372,9890.07,8534.69,39433.15,17717.44,10487.14,5776.30,3191.14,929.72
10,it,p,11042044,11119.63,0.24,0.00,444766,0.99,1491385,1343709,2316063,1897943,1408985,1058450,949681,576423,12002.74,10447.67,18083.71,15046.85,11908.05,8394.33,7800.77,4811.93
11,have,v,10514314,10588.23,0.02,0.01,458950,0.99,1633029,1525515,1761082,1902874,1807548,1335863,1411100,937640,13142.70,11861.25,13750.45,15085.94,15276.51,10594.43,11590.91,7827.33
12,to,i,9232572,9297.44,0.02,0.01,461573,1.00,1185814,1306789,905291,1073968,1093408,1224924,1152442,1289936,9543.49,10160.61,7068.47,8514.39,9240.95,9714.59,9466.27,10768.27
13,that,c,8319512,8377.97,0.01,0.00,446027,0.98,1295079,1255200,578426,1470545,685799,1022180,893305,1119124,10422.86,9759.49,4516.32,11658.45,5796.04,8106.68,7337.69,9342.35
14,for,i,8194970,8252.55,0.05,0.01,459026,0.99,1166408,1162942,840481,941526,753230,1103290,1131867,1095226,9387.31,9042.16,6562.44,7464.40,6365.93,8749.94,9297.26,9142.85
15,do,v,8186412,8244.70,0.10,0.01,415641,0.98,1052753,885912,2349422,1472318,953133,594683,557889,321166,8472.61,6888.18,18344.18,11672.50,8055.41,4716.30,4582.55,2681.07
16,he,p,6467470,6512.91,0.30,0.00,331648,0.97,519986,638982,912036,974382,1671940,652027,871369,227209,4184.87,4968.24,7121.13,7724.88,14130.41,5171.08,7157.51,1896.72
17,with,i,6442861,6488.13,0.04,0.00,447718,0.99,833458,862423,642606,728649,804316,922932,823428,825049,6707.71,6705.55,5017.44,5776.71,6797.68,7319.56,6763.71,6887.44
18,on,i,6080156,6122.88,0.05,0.01,450854,0.99,833823,832797,579433,781304,758137,810448,808440,675781,6710.65,6475.20,4524.19,6194.16,6407.40,6427.48,6640.60,5641.36
19,this,d,5541440,5580.30,0.22,0.01,425335,0.98,788466,781446,1045122,1072958,428807,466218,395385,562958,6345.61,6075.93,8160.26,8506.39,3624.07,3697.47,3247.73,4699.52
